Date;Dernier Prix
01/01/2020;39,46
02/01/2020;36,84
03/01/2020;34,34
04/01/2020;36,05
05/01/2020;39,19
06/01/2020;41,97
07/01/2020;40,43
08/01/2020;36,28
09/01/2020;38,48
10/01/2020;35,15
11/01/2020;28,88
12/01/2020;38,53
13/01/2020;30,55
14/01/2020;31,62
15/01/2020;37,14
16/01/2020;36,79
17/01/2020;35,69
18/01/2020;33,26
19/01/2020;44,78
20/01/2020;46,85
21/01/2020;48,4
22/01/2020;51,54
23/01/2020;50,92
24/01/2020;40,8
25/01/2020;34,68
26/01/2020;38,51
27/01/2020;34,79
28/01/2020;36,19
29/01/2020;35,66
30/01/2020;29,2
31/01/2020;17,4
01/02/2020;20,44
02/02/2020;26,43
03/02/2020;27,97
04/02/2020;36,54
05/02/2020;37,04
06/02/2020;34,87
07/02/2020;27,98
08/02/2020;14,73
09/02/2020;19,78
10/02/2020;24,67
11/02/2020;28,48
12/02/2020;30,44
13/02/2020;30,81
14/02/2020;22,42
15/02/2020;8,08
16/02/2020;24,02
17/02/2020;26,53
18/02/2020;31,14
19/02/2020;30,1
20/02/2020;30,59
21/02/2020;24,01
22/02/2020;19,53
23/02/2020;28,17
24/02/2020;26,5
25/02/2020;31
26/02/2020;34,59
27/02/2020;31,02
28/02/2020;15,87
29/02/2020;15,65
01/03/2020;32,71
02/03/2020;36,62
03/03/2020;39,34
04/03/2020;33,86
05/03/2020;30,48
06/03/2020;28,61
07/03/2020;18,38
08/03/2020;35,87
09/03/2020;26,83
10/03/2020;26,27
11/03/2020;24,94
12/03/2020;29
13/03/2020;29,87
14/03/2020;13,84
15/03/2020;30,62
16/03/2020;28,3
17/03/2020;26,15
18/03/2020;25,39
19/03/2020;20,87
20/03/2020;11,64
21/03/2020;6,05
22/03/2020;16,72
23/03/2020;20,12
24/03/2020;22,47
25/03/2020;21,32
26/03/2020;21,46
27/03/2020;14,13
28/03/2020;6,82
29/03/2020;21,72
30/03/2020;22,05
31/03/2020;22,98
01/04/2020;21,86
02/04/2020;22,11
03/04/2020;16,83
04/04/2020;6,2
05/04/2020;12,59
06/04/2020;16,78
07/04/2020;15,18
08/04/2020;17,24
09/04/2020;14,51
10/04/2020;13,36
11/04/2020;11,37
12/04/2020;-6,51
13/04/2020;12,01
14/04/2020;14,48
15/04/2020;12,6
16/04/2020;14,06
